abbreviation,official_german,english
IVV,Verordnung über die Invalidenversicherung,Invalidity Insurance Ordinance
ZDV,Zivildienstverordnung,Civilian Service Ordinance
HRegV,Handelsregisterverordnung,Commercial Register Ordinance
KVG,Bundesgesetz über die Krankenversicherung,Health Insurance Act
AVIG,Arbeitslosenversicherungsgesetz,Unemployment Insurance Act
FinfraV,Finanzmarktinfrastrukturverordnung,Financial Market Infrastructure Ordinance
LFG,Luftfahrtgesetz,Aviation Act
ZStV,Zivilstandsverordnung,Civil Status Ordinance
FinfraG,Finanzmarktinfrastrukturgesetz,Financial Market Infrastructure Act
HMG,Heilmittelgesetz,Therapeutic Products Act
MWSTV,Mehrwertsteuerverordnung,Value Added Tax Ordinance
SSG,Seeschifffahrtsgesetz,Maritime Navigation Act
ZG,Zollgesetz,Customs Act
VRV,Verkehrsregelnverordnung,Traffic Rules Ordinance
MWSTG,Mehrwertsteuergesetz,Value Added Tax Act
IVG,Bundesgesetz über die Invalidenversicherung,Invalidity Insurance Act
EMKV,Edelmetallkontrollverordnung,Precious Metals Control Ordinance
LeV,Lebensmittelverordnung (historisch),Foodstuffs Ordinance (historical)
AHVG,Bundesgesetz über die Alters- und Hinterlassenenversicherung,Old-Age and Survivors Insurance Act
VRAB,Verordnung über den Rechts- und Amtshilfeverkehr,Ordinance on Mutual Administrative and Legal Assistance
FDV,Flugdienstverordnung,Flight Duty Ordinance
VAG,Versicherungsaufsichtsgesetz,Insurance Supervision Act
BVV,Berufsvorsorgeverordnung,Occupational Pension Ordinance
RTVG,Bundesgesetz über Radio und Fernsehen,Radio and Television Act
KAG,Kollektivanlagengesetz,Collective Investment Schemes Act
SprstV,Sprengstoffverordnung,Explosives Ordinance
IRSG,Bundesgesetz über die internationale Rechtshilfe in Strafsachen,Mutual Assistance in Criminal Matters Act
UVV,Verordnung über die Unfallversicherung,Accident Insurance Ordinance
KV,Kantonsverfassung,Cantonal Constitution
VZAE,"Verordnung über Zulassung, Aufenthalt und Erwerbstätigkeit","Ordinance on Admission, Period of Stay and Employment"
PSMV,Pflanzenschutzmittelverordnung,Plant Protection Products Ordinance
PatG,Patentgesetz,Patents Act
EDAV-DS,EDA-Verordnung über den Datenschutz,Ordinance on Data Protection in the FDFA
USG,Umweltschutzgesetz,Environmental Protection Act
RTVV,Radio- und Fernsehverordnung,Radio and Television Ordinance
KreV-FINMA,Kreditrisikoverordnung-FINMA,FINMA Credit Risk Ordinance
BGS,Bundesgesetz über Geldspiele,Federal Act on Money Games
VGS,Verordnung über Geldspiele,Ordinance on Money Games
StHG,Steuerharmonisierungsgesetz,Tax Harmonization Act
EBV,Eisenbahnverordnung,Railways Ordinance
LMVV,Lebensmittel- und Gebrauchsgegenständeverordnung,Foodstuffs and Utility Articles Ordinance
EnG,Energiegesetz,Energy Act
VBPV-EDA,Verordnung des EDA zur Bundespersonalverordnung,FDFA Ordinance on the Federal Personnel Ordinance
UVG,Bundesgesetz über die Unfallversicherung,Accident Insurance Act
KKV-FINMA,Kollektivanlagenverordnung-FINMA,FINMA Collective Investment Schemes Ordinance
BGG,Bundesgerichtsgesetz,Federal Supreme Court Act
VMDP,Verordnung über die Militärdienstpflicht,Ordinance on Compulsory Military Service
FiFV,Finanzierungsfondsverordnung / Finanzinstitutsverordnung,Financing Fund Ordinance
VZG,Verordnung über das Zivilstandsregister,Civil Status Register Ordinance
FIDLEV,Finanzdienstleistungsverordnung,Financial Services Ordinance
VLtH,Verordnung über die Luftfahrthindernisse,Ordinance on Aviation Obstacles
PVBger,Personalverordnung des Bundesgerichts,Federal Supreme Court Personnel Ordinance
FINIV,Finanzinstitutsverordnung,Financial Institutions Ordinance
EnV,Energieverordnung,Energy Ordinance
VStrR,Bundesgesetz über das Verwaltungsstrafrecht,Administrative Criminal Law Act
MepV,Medizinprodukteverordnung,Medical Devices Ordinance
ATSG,Bundesgesetz über den Allgemeinen Teil des Sozialversicherungsrechts,General Part of Social Insurance Law Act
StBOG,Strafbehördenorganisationsgesetz,Criminal Authorities Organization Act
